iter	RMSE
0	2337.6812
1	2173.557463
2	2023.501326
3	1884.219508
4	1783.225034
5	1661.047918
6	1549.410133
7	1442.98912
8	1362.28806
9	1271.935975
10	1189.39003
11	1116.851886
12	1058.248526
13	998.5509301
14	953.4498977
15	894.7948224
16	842.3846127
17	804.5168809
18	756.5860327
19	715.4580695
20	678.2271198
21	643.9020153
22	612.4835553
23	581.4900971
24	552.3304802
25	524.7924114
26	498.0038752
27	474.7155706
28	455.8287433
29	439.2244109
30	421.603816
31	404.2873975
32	390.9724914
33	380.4284765
34	365.8774403
35	350.3983728
36	338.474278
37	325.9250057
38	314.5778337
39	304.9506905
40	295.1851537
41	286.3113908
42	277.9771374
43	269.975446
44	261.1833666
45	256.0901656
46	249.465348
47	243.3332261
48	236.6057877
49	229.7854694
50	223.0408019
51	219.4807672
52	214.6664823
53	209.4306207
54	205.6158166
55	201.2829794
56	196.5480628
57	192.9302404
58	189.3489987
59	185.6123599
60	182.4834175
61	179.1986067
62	176.3728759
63	173.7627207
64	171.0113119
65	168.2283201
66	166.0250519
67	163.4005688
68	161.1673187
69	159.786577
70	158.2795358
71	155.9543162
72	153.6308022
73	151.732797
74	149.5820823
75	147.6041368
76	146.2552019
77	145.4537165
78	143.9794463
79	143.2836867
80	141.0681681
81	140.2527856
82	137.7148168
83	137.136417
84	136.4250815
85	134.3286888
86	133.5113083
87	131.7728183
88	131.3027643
89	129.7101506
90	128.1518793
91	126.5130189
92	125.447525
93	124.4315008
94	123.2400385
95	122.3248146
96	121.9657596
97	121.0048251
98	120.0244134
99	119.0813657
100	118.1732343
101	117.4972766
102	117.075706
103	116.7918962
104	116.418312
105	115.4924926
106	114.9351605
107	114.2764141
108	114.0107799
109	113.7405639
110	113.399347
111	112.7014812
112	111.8844778
113	111.3213152
114	110.71779
115	110.3052501
116	109.6895714
117	109.4623744
118	108.7038734
119	108.1194977
120	107.9964106
121	107.377827
122	106.8673274
123	106.7558448
124	106.3645062
125	106.2682898
126	106.1771372
127	106.0141864
128	105.7730949
129	105.2100138
130	104.8845938
131	104.4598988
132	103.9368146
133	103.6288279
134	103.3764573
135	102.9668276
136	102.8838882
137	102.7437477
138	102.6765483
139	102.2448819
140	102.0107474
141	101.3771842
142	101.1763214
143	101.106212
144	100.6570019
145	100.5912049
146	100.2764899
147	100.1592553
148	100.0108332
149	99.95164034
150	99.83600861
151	99.53001726
152	99.263279
153	98.98925135
154	98.66332777
155	98.32176503
156	98.22777554
157	97.8435272
158	97.75830705
159	97.58839872
160	97.34137494
161	97.15048565
162	96.99452624
163	96.95183442
164	96.83264606
165	96.5751284
166	96.48013455
167	96.19178752
168	96.10524949
169	95.88024031
170	95.66521691
171	95.62253454
172	95.53722558
173	95.39933037
174	95.28052347
175	95.21353532
176	95.14451899
177	94.95524287
178	94.88642592
179	94.59227839
180	94.54121993
181	94.49486376
182	94.35439752
183	94.30448499
184	94.14476303
185	93.82846163
186	93.70230978
187	93.64524676
188	93.54136206
189	93.32073234
190	93.18167354
191	93.13561101
192	93.11178479
193	92.98384106
194	92.72987252
195	92.70799341
196	92.41942753
197	92.18893479
198	92.05145915
199	91.96848393
200	91.93551431
201	91.79027344
202	91.65680738
203	91.53281204
204	91.22688925
205	91.20840481
206	91.05744166
207	90.95129878
208	90.81658582
209	90.73232913
210	90.70538508
211	90.56315749
212	90.3955348
213	90.36682244
214	90.3424492
215	90.26992124
216	90.08574646
217	90.04680485
218	89.97601339
219	89.8126649
220	89.69453799
221	89.62555828
222	89.58810584
223	89.51990176
224	89.48150871
225	89.41664857
226	89.29886162
227	89.19129509
228	89.16473142
229	89.11035941
230	89.03647434
231	88.92305382
232	88.89128591
233	88.79139469
234	88.76205162
235	88.67000965
236	88.6299632
237	88.61661352
238	88.58667826
239	88.48205632
240	88.39933305
241	88.37351617
242	88.29539907
243	88.25584508
244	88.16452325
245	88.06235892
246	88.04172971
247	87.92592895
248	87.88198239
249	87.79150935
250	87.72785636
251	87.6514069
252	87.56659523
253	87.5588478
254	87.5418986
255	87.50233369
256	87.3955405
257	87.37183012
258	87.26788375
259	87.24866856
260	87.2400312
261	87.12434028
262	87.10923175
263	87.04397548
264	87.03047358
265	87.02321844
266	86.98695829
267	86.89810642
268	86.85236087
269	86.77367502
270	86.70796591
271	86.64941838
272	86.57508154
273	86.55989633
274	86.50762682
275	86.48127686
276	86.37326938
277	86.31035179
278	86.26403837
279	86.1998569
280	86.18960957
281	86.12338035
282	86.0475652
283	85.99601882
284	85.94220168
285	85.93067272
286	85.89495631
287	85.86922772
288	85.81800761
289	85.80655083
290	85.79931181
291	85.75219797
292	85.73215065
293	85.69307096
294	85.6396495
295	85.59326264
296	85.57391116
297	85.56241709
298	85.51533749
299	85.47700877
300	85.46054643
301	85.42685117
302	85.4188133
303	85.40975488
304	85.34876186
305	85.2884275
306	85.25117569
307	85.19270065
308	85.15284942
309	85.09307805
310	85.06917088
311	85.04206828
312	85.02338827
313	84.98499831
314	84.93001285
315	84.92279119
316	84.88529853
317	84.86557073
318	84.84411858
319	84.81861727
320	84.77277469
321	84.75648665
322	84.7325439
323	84.717713
324	84.68953504
325	84.67161232
326	84.66524253
327	84.63794125
328	84.63391199
329	84.60468977
330	84.60013502
331	84.57250653
332	84.52617806
333	84.5212869
334	84.51487161
335	84.5085188
336	84.49801035
337	84.4898753
338	84.47231081
339	84.46219921
340	84.41310817
341	84.37243753
342	84.36126811
343	84.35639996
344	84.35063565
345	84.31460165
346	84.30679952
347	84.26727953
348	84.26016673
349	84.25658169
350	84.23560462
351	84.23234207
352	84.22084346
353	84.20887899
354	84.1758843
355	84.16365321
356	84.13657148
357	84.12999149
358	84.12749165
359	84.09558411
360	84.06345926
361	84.06097361
362	84.0393949
363	84.00176594
364	83.98018019
365	83.95004285
366	83.9318891
367	83.89902953
368	83.8961283
369	83.87501375
