iter	RMSE
370	83.86668022
371	83.85335113
372	83.8162304
373	83.81446801
374	83.81153914
375	83.79817571
376	83.77054758
377	83.76038242
378	83.73049483
379	83.7140043
380	83.66465048
381	83.62199843
382	83.58900637
383	83.57436615
384	83.56642755
385	83.54817898
386	83.52252773
387	83.49625375
388	83.48107504
389	83.45448437
390	83.44112668
391	83.43520324
392	83.41379251
393	83.38713297
394	83.3634223
395	83.35847586
396	83.35508837
397	83.33529388
398	83.31709097
399	83.31530805
400	83.29160831
401	83.2893131
402	83.27150488
403	83.267764
404	83.26282826
405	83.23962647
406	83.22091708
407	83.20588801
408	83.20112523
409	83.19258424
410	83.18830216
411	83.1832222
412	83.18147393
413	83.17866659
414	83.17404842
415	83.16666895
416	83.16367607
417	83.15373074
418	83.12942244
419	83.12615284
420	83.12377351
421	83.11576032
422	83.09754695
423	83.09022769
424	83.08225118
425	83.06793523
426	83.06424823
427	83.06236918
428	83.04464903
429	83.03170304
430	83.02912484
431	83.00873091
432	82.99969387
433	82.99432979
434	82.99091118
435	82.98783769
436	82.97602319
437	82.97466409
438	82.96942949
439	82.9676276
440	82.96466811
441	82.9554029
442	82.94463024
443	82.93194275
444	82.92499994
445	82.92029001
446	82.91955816
447	82.90642558
448	82.89360569
449	82.87783227
450	82.86508252
451	82.85376453
452	82.84145566
453	82.84078807
454	82.82701688
455	82.81071781
456	82.79743813
457	82.79375029
458	82.78230351
459	82.77100906
460	82.75650499
461	82.74378241
462	82.72885339
463	82.72184362
464	82.7135544
465	82.71064441
466	82.70145178
467	82.69588699
468	82.68785367
469	82.67715172
470	82.6691681
471	82.66629923
472	82.65259368
473	82.6501353
474	82.64622013
475	82.63639016
476	82.62596642
477	82.60988632
478	82.60014161
479	82.59595112
480	82.59226304
481	82.58551793
482	82.58311801
483	82.57763428
484	82.56725598
485	82.55818653
486	82.55141431
487	82.5470566
488	82.53489477
489	82.5328673
490	82.5305776
491	82.52787283
492	82.52264837
493	82.51384342
494	82.51226137
495	82.50802389
496	82.50280997
497	82.4972868
498	82.48942061
499	82.48046112
